geometry_id,geometry
113,"LINESTRING (-120.6481794 47.6010878, -120.6471241 47.601829, -120.646192 47.6024177, -120.6460419 47.6025117, -120.6459922 47.6025714, -120.645968 47.6026275, -120.6459493 47.6026932, -120.6459492 47.6027387, -120.6459586 47.6027884, -120.6459862 47.6028519, -120.646027 47.6029024, -120.6460713 47.6029485, -120.6461453 47.6029983, -120.6462255 47.6030263, -120.6463196 47.6030504, -120.6464092 47.603057, -120.6464924 47.6030516, -120.646557 47.6030342, -120.646711 47.6029838, -120.6470275 47.6028463, -120.6475371 47.6025678, -120.6485156 47.602044, -120.6488245 47.6018288, -120.6488276 47.6017375, -120.6487866 47.60161, -120.6486356 47.6014883, -120.6481794 47.6010878)"
114,"LINESTRING (-120.6481794 47.6010878, -120.6486356 47.6014883, -120.6487866 47.60161, -120.6488276 47.6017375, -120.6488245 47.6018288, -120.6485156 47.602044, -120.6475371 47.6025678, -120.6470275 47.6028463, -120.646711 47.6029838, -120.646557 47.6030342, -120.6464924 47.6030516, -120.6464092 47.603057, -120.6463196 47.6030504, -120.6462255 47.6030263, -120.6461453 47.6029983, -120.6460713 47.6029485, -120.646027 47.6029024, -120.6459862 47.6028519, -120.6459586 47.6027884, -120.6459492 47.6027387, -120.6459493 47.6026932, -120.645968 47.6026275, -120.6459922 47.6025714, -120.6460419 47.6025117, -120.646192 47.6024177, -120.6471241 47.601829, -120.6481794 47.6010878)"
115,"LINESTRING (-120.6675683 47.5891323, -120.6676235 47.5894992, -120.6676689 47.5895798, -120.6677382 47.589637, -120.6678553 47.5896991, -120.66797 47.5897216, -120.6680823 47.5897249, -120.6682233 47.5896975, -120.6685393 47.5895987, -120.6686737 47.5895677, -120.6687884 47.5895508, -120.6688813 47.5895506, -120.6689478 47.5895592, -120.6690096 47.5895731, -120.6691229 47.589617, -120.6691973 47.5896569, -120.6692509 47.5897049, -120.6693408 47.5897917, -120.6694266 47.5898677, -120.6695205 47.5899328, -120.6696093 47.5899837)"
116,"LINESTRING (-120.6696093 47.5899837, -120.6695205 47.5899328, -120.6694266 47.5898677, -120.6693408 47.5897917, -120.6692509 47.5897049, -120.6691973 47.5896569, -120.6691229 47.589617, -120.6690096 47.5895731, -120.6689478 47.5895592, -120.6688813 47.5895506, -120.6687884 47.5895508, -120.6686737 47.5895677, -120.6685393 47.5895987, -120.6682233 47.5896975, -120.6680823 47.5897249, -120.66797 47.5897216, -120.6678553 47.5896991, -120.6677382 47.589637, -120.6676689 47.5895798, -120.6676235 47.5894992, -120.6675683 47.5891323)"
117,"LINESTRING (-120.6696093 47.5899837, -120.6696721 47.5900223, -120.669825 47.5901165, -120.6699047 47.5901817, -120.6699501 47.5902526, -120.6699661 47.5903387, -120.6699635 47.5905739, -120.6699629 47.5906303)"
118,"LINESTRING (-120.6696093 47.5899837, -120.6717652 47.5882425, -120.6718092 47.58821, -120.6718644 47.5881855, -120.671914 47.5881753, -120.6720335 47.5881608, -120.6721556 47.5881752)"
119,"LINESTRING (-120.6696093 47.5899837, -120.6694073 47.5901364, -120.6693692 47.5902163, -120.6693371 47.5903303, -120.6693453 47.5906094)"
120,"LINESTRING (-120.6620271 47.597892, -120.6632592 47.5979097, -120.6633634 47.5979119)"
121,"LINESTRING (-120.6620271 47.597892, -120.6620411 47.5974358, -120.6620572 47.5970217)"
122,"LINESTRING (-120.6620271 47.597892, -120.6620132 47.5983399, -120.6620044 47.5986136, -120.6620009 47.5987225, -120.6619992 47.5987763)"
123,"LINESTRING (-120.6620271 47.597892, -120.6607828 47.5978873, -120.6606841 47.5978869)"
124,"LINESTRING (-120.6619992 47.5987763, -120.6621863 47.5987794, -120.6633506 47.5987984)"
125,"LINESTRING (-120.6619992 47.5987763, -120.6620009 47.5987225, -120.6620044 47.5986136, -120.6620132 47.5983399, -120.6620271 47.597892)"
126,"LINESTRING (-120.6619992 47.5987763, -120.6610669 47.5987764, -120.660666 47.5987765)"
127,"LINESTRING (-120.661988 47.5997103, -120.6633211 47.5997235)"
128,"LINESTRING (-120.661988 47.5997103, -120.6619687 47.6001398, -120.6619501 47.6005039, -120.661949 47.6005249, -120.6619451 47.6006006)"
129,"LINESTRING (-120.661988 47.5997103, -120.6606407 47.5997019)"
130,"LINESTRING (-120.654899 47.5999843, -120.6549298 47.5999964, -120.6549607 47.6000176, -120.6549757 47.600037, -120.6549853 47.6000546, -120.6549943 47.6000753, -120.6549944 47.600081, -120.6549982 47.6003346, -120.6550051 47.6003837, -120.6550169 47.6004221, -120.6550322 47.6004498, -120.6550516 47.6004703, -120.6550711 47.6004853, -120.6551433 47.6005035, -120.6552156 47.6005109, -120.655291 47.6005132, -120.6554382 47.6005137, -120.6564086 47.600518)"
131,"LINESTRING (-120.654899 47.5999843, -120.6546564 47.5999664, -120.6546084 47.5999629, -120.6545146 47.5999559)"
132,"LINESTRING (-120.654899 47.5999843, -120.6551547 47.5998089, -120.655322 47.5997239, -120.655389 47.5996965, -120.6554605 47.5996721, -120.6555246 47.5996584, -120.6556065 47.5996477, -120.6556789 47.5996414, -120.6557937 47.5996374, -120.6565213 47.599645)"
133,"LINESTRING (-120.6578604 47.599656, -120.6578476 47.6001002, -120.6578416 47.6004293, -120.6578507 47.6004481, -120.6578939 47.6005381)"
134,"LINESTRING (-120.6578604 47.599656, -120.6579501 47.5996592, -120.6579635 47.5996597, -120.6593057 47.599678)"
135,"LINESTRING (-120.6578604 47.599656, -120.6578663 47.5994145, -120.6578729 47.5992419, -120.6578822 47.5991975, -120.6579236 47.5991234, -120.6579943 47.5990568, -120.6580737 47.5990056, -120.65816 47.5989651, -120.6581743 47.598959, -120.6582708 47.5989176, -120.6583734 47.5988819, -120.6585227 47.5988372, -120.6585628 47.5988252, -120.6587269 47.598782, -120.6589241 47.5987559, -120.6593403 47.5987572)"
